open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote,ignore
2026-04-13 10:57:00,70773.20000000,70781.03000000,70768.92000000,70778.11000000,1.60185000,2026-04-13 10:57:59.999,113372.00947110,732,0.58343000,41290.99218640,0
2026-04-13 10:58:00,70778.74000000,70778.74000000,70740.71000000,70740.72000000,0.97968000,2026-04-13 10:58:59.999,69321.76745860,1118,0.27732000,19624.62211230,0
2026-04-13 10:59:00,70740.71000000,70756.92000000,70732.23000000,70755.88000000,1.82390000,2026-04-13 10:59:59.999,129021.97999960,1001,1.11198000,78659.75553790,0
2026-04-13 11:00:00,70755.89000000,70858.74000000,70736.29000000,70770.36000000,18.49632000,2026-04-13 11:00:59.999,1309469.61808950,5922,13.55222000,959404.59962680,0
2026-04-13 11:01:00,70770.36000000,70777.29000000,70762.74000000,70762.75000000,4.85093000,2026-04-13 11:01:59.999,343294.19940130,750,1.56623000,110833.38566000,0
2026-04-13 11:02:00,70762.75000000,70808.48000000,70762.74000000,70798.97000000,2.37576000,2026-04-13 11:02:59.999,168171.72301110,1721,1.71491000,121388.98781530,0
2026-04-13 11:03:00,70798.98000000,70844.00000000,70791.24000000,70844.00000000,1.64758000,2026-04-13 11:03:59.999,116667.13157630,1225,1.20827000,85562.00723990,0
2026-04-13 11:04:00,70844.00000000,70844.95000000,70831.05000000,70831.05000000,3.29996000,2026-04-13 11:04:59.999,233775.94980250,869,0.58657000,41554.91764840,0
2026-04-13 11:05:00,70831.06000000,70846.90000000,70831.05000000,70846.89000000,4.13509000,2026-04-13 11:05:59.999,292924.31163280,922,2.67085000,189195.66207720,0
2026-04-13 11:06:00,70846.90000000,70865.27000000,70846.89000000,70865.26000000,2.53238000,2026-04-13 11:06:59.999,179435.13202760,518,1.74788000,123850.64831980,0
2026-04-13 11:07:00,70865.26000000,70865.27000000,70844.70000000,70852.20000000,3.66605000,2026-04-13 11:07:59.999,259749.40357110,1089,2.22483000,157625.01251320,0
2026-04-13 11:08:00,70852.20000000,70870.00000000,70852.20000000,70869.99000000,5.85917000,2026-04-13 11:08:59.999,415216.90081530,679,5.73828000,406650.58937230,0
2026-04-13 11:09:00,70870.00000000,70870.00000000,70852.19000000,70852.20000000,1.05002000,2026-04-13 11:09:59.999,74406.09756200,765,0.24364000,17264.96815960,0
2026-04-13 11:10:00,70852.20000000,70870.00000000,70852.19000000,70870.00000000,1.27698000,2026-04-13 11:10:59.999,90489.25110510,483,0.91876000,65102.94706040,0
2026-04-13 11:11:00,70869.99000000,70875.24000000,70860.44000000,70860.44000000,8.05809000,2026-04-13 11:11:59.999,571074.66536840,865,5.48823000,388951.75542150,0
2026-04-13 11:12:00,70860.45000000,70868.55000000,70858.62000000,70858.63000000,1.41362000,2026-04-13 11:12:59.999,100175.57733210,676,0.86741000,61468.73272450,0
2026-04-13 11:13:00,70858.62000000,70858.63000000,70856.77000000,70856.78000000,0.41244000,2026-04-13 11:13:59.999,29224.50806350,156,0.26273000,18616.34425940,0
2026-04-13 11:14:00,70856.78000000,70870.79000000,70856.77000000,70870.78000000,1.59878000,2026-04-13 11:14:59.999,113288.04870380,492,1.26810000,89856.15238260,0
2026-04-13 11:15:00,70870.79000000,70888.00000000,70870.78000000,70883.03000000,3.05406000,2026-04-13 11:15:59.999,216471.23887840,584,2.78157000,197156.33210100,0
2026-04-13 11:16:00,70883.04000000,70883.04000000,70848.49000000,70848.49000000,1.53580000,2026-04-13 11:16:59.999,108832.60153580,1142,0.42962000,30444.67347230,0
